dictionary_id,arabic,our_arabic,our_romanization,english,our_english,our_pos,our_category,sources,rank,page,situation,match
1083,حَلو,حِلْو,7ilu,Beautiful,sweet,Adjective,Food & Drink,words+phrases,69,2,Weather,exact
508,أَعْطى,أَعْطَى,a3ta,To give,gave,Verb,Common Verbs,words,70,2,,exact
507,أَخَذ,أَخَذ,akhad,To take,took,Verb,Common Verbs,words,71,2,,exact
510,حَطّ,حَطّ,7att,To put,put / placed,Verb,Common Verbs,words,72,2,,exact
1479,ضَعِيف,ضَعِيف,da3eef,Skinny / Weak,weak,Adjective,Adjectives (Physical),words,73,2,,exact
853,مَنخار,أَنْف,anf,Nose,nose,Noun,Body,words+phrases,74,2,Dictionary,english-only
518,جاب,جَاب,jaab,To bring,brought,Verb,Common Verbs,words,76,2,,exact
852,أُذن,أُذُن,udhun,Ear,ear,Noun,Body,words+phrases,77,2,Body Parts,exact
622,أكَل,أَكَل,akal,To eat,ate,Verb,Daily Routine Verbs,words+phrases,78,2,Eating Out,exact
855,ثِم,ثُمّ,thumm,Mouth,mouth,Noun,Body,words,79,2,,exact
623,شَرِب,شِرِب,shirib,To drink,drank,Verb,Daily Routine Verbs,words,80,2,,exact
574,قَرَأ,قَرَأ,ara,To read,read,Verb,Common Verbs,words,81,2,,exact
1398,أسَد,أَسَد,asad,Lion,lion,Noun,Animals,words,82,2,,exact
575,كَتَب,كَتَب,katab,To write,wrote,Verb,Common Verbs,words,83,2,,exact
856,سِن,سِنّ,sinn,Tooth,tooth,Noun,Body,words,84,2,,exact
664,دَرَس,دَرَّس,darras,To study,taught (at school),Verb,Education,words,85,2,,exact
572,تَعَلَّم,تْعَلَّم,t3allam,To learn,learned,Verb,Common Verbs,words,86,2,,exact
1396,قِرد,قِرِد,irid,Monkey,monkey,Noun,Animals,words,87,2,,exact
1393,حَيّة,حَيَّة,7ayye,Snake,snake,Noun,Animals,words,89,2,,exact
565,فَكَّر,فَكَّر,fakkar,To think (about),thought,Verb,Common Verbs,words,90,2,,exact
849,شَعر,شَعِر,sha3ir,Hair,hair,Noun,Body,words,91,2,,exact
1399,جَمل,جَمَل,jamal,Camel,camel,Noun,Animals,words,92,2,,exact
1394,سَمَكة,سَمَكَة,samake,Fish,fish (one),Noun,Animals,words,93,2,,exact
566,فَهِم,فِهِم,fihim,To understand,understood,Verb,Common Verbs,words,95,2,,exact
663,اشْتَغَل,اشْتَغَل,ishtaghal,To work,worked,Verb,Professions,words,96,2,,exact
916,مَبسُوط,مَبْسُوط,mabsoot,Happy,happy / pleased (m.),Adjective,Emotions,words+phrases,97,2,Conversation,exact
612,نام,نَام,naam,To sleep,slept,Verb,Daily Routine Verbs,words,98,2,,exact
860,إِيد,إِيد,eed,Hand / arm,hand / arm,Noun,Body,words+phrases,99,2,Body Parts,exact
613,صَحِي,صَحِي,si7i,To wake up,woke up,Verb,Daily Routine Verbs,words,101,2,,exact
921,تَعبان,تَعْبَان,ta3baan,Tired,tired (m.),Adjective,Emotions,words+phrases,102,3,Dictionary,exact
614,قام,قَام,aam,To stand up / wake up,got up / stood up,Verb,Daily Routine Verbs,words,103,3,,exact
539,قَعَد,قَعَد,a3ad,To sit down,sat down,Verb,Motion Verbs,words,105,3,,exact
861,أُصبِع,صْبَاع,sba3,Finger,finger,Noun,Body,words+phrases,106,3,Body Parts,english-only
672,اشْتَرى,اشْتَرَى,ishtara,To buy,bought,Verb,Money & Shopping,words,108,3,,exact
866,رِجْل,إِجِر,ijir,Leg / foot,leg / foot,Noun,Body,words+phrases,109,3,Body Parts,english-only
27,عَلَى,عَلَى,3ala,On,on / onto,Preposition,Prepositions,words,110,3,,exact
935,جَوعان,جَوْعَان,joo3aan,Hungry,hungry (m.),Adjective,Emotions,words+phrases,111,3,Dictionary,exact
673,باع,بَاع,baa3,To sell,sold,Verb,Money & Shopping,words,112,3,,exact
538,وَقِف,وَقَف,wa'af,To stand,stopped / stood,Verb,Motion Verbs,words,113,3,,exact
1227,شَبعان,مَلْيَان,malyaan,Full,full,Adjective,Household,words,115,3,,english-only
531,مَشى,مِشِي,mishi,To walk,walked,Verb,Motion Verbs,words,116,3,,spelling-mismatch
936,عَطشان,عَطْشَان,3atshaan,Thirsty,thirsty (m.),Adjective,Emotions,words+phrases,118,3,Dictionary,exact
61,بِ,بِـ,bi-,In / Inside,(present tense marker),Particle,Particles,words,120,3,,exact
563,حَسّ,حَسّ,7ass,To feel,felt / sensed,Verb,Communication,words,121,3,,exact
576,احْتاج,احْتَاج,i7taaj,To need,needed,Verb,Emotions,words,123,3,,exact
29,ل,لَـ,la,To / for / of / by,to / for,Preposition,Prepositions,words,124,3,,exact
528,اتَّصَل,اتَّصَل,ittasal,To contact,called (phone),Verb,Common Verbs,words,125,3,,exact
2569,قَدم,قَدَّم,addam,foot,submitted / applied / offered,Verb,Common Verbs,words+phrases,126,3,Body Parts,exact
714,ضَحِك,ضِحِك,di7ik,To laugh at,laughed,Verb,Emotions,words,127,3,,exact
584,انْبَسَط,انْبَسَط,inbasat,To enjoy,enjoyed / was happy,Verb,Emotions,words,129,3,,exact
738,دَخَل,دَخَل,dakhal,To enter,entered,Verb,Motion Verbs,words,130,3,,exact
739,خَرَج,خَرَج,kharaj,To exit,went out / exited,Verb,Motion Verbs,words,131,3,,exact
602,ساعَد,سَاعَد,saa3ad,To help,helped,Verb,Common Verbs,words,133,3,,exact
869,قَلب,قَلِب,alib,Heart,heart,Noun,Body,words+phrases,134,3,Dictionary,exact
517,لاقَى,لَاقَى,laa'a,To find,found,Verb,Common Verbs,words,135,3,,exact
1243,شارِع,شَارِع,shaari3,Street,street / road,Noun,City & Places,words+phrases,137,3,Dictionary,exact
76,هون,هُون,hoon,Here,here,Adverb,Adverbs,words+phrases,138,3,Directions & Places,exact
1100,دَرج,دَرَج,daraj,stairs,stairs / staircase,Noun,Household,words,140,3,,exact
77,هُناك,هُنَاك,hunaak,There,there,Adverb,Adverbs,words+phrases,141,3,Directions & Places,exact
1165,أسوَد,أَسْوَد,aswad,Black,black,Adjective,Colors,words+phrases,142,3,Colours,exact
1164,أبيَض,أَبْيَض,abyad,White,white,Adjective,Colors,words+phrases,143,3,Colours,exact
1161,أزرَق,أَزْرَق,azra',Blue,blue,Adjective,Colors,words+phrases,144,3,Colours,exact
1162,أخضَر,أَخْضَر,akhdar,Green,green,Adjective,Colors,words+phrases,145,3,Colours,exact
1274,حارة,حَارَة,7aara,Neighbourhood,neighborhood / alley,Noun,City & Places,words,146,3,,exact
1160,أحمَر,أَحْمَر,a7mar,Red,red,Adjective,Colors,words+phrases,147,3,Colours,exact
1163,أصفَر,أَصْفَر,asfar,Yellow,yellow,Adjective,Colors,words+phrases,148,3,Colours,exact
1166,بِنّي,بُنِّي,bunni,Brown,brown,Adjective,Colors,words+phrases,149,3,Colours,exact
1256,مَطعَم,مَطْعَم,mat3am,Restaurant,restaurant,Noun,City & Places,words+phrases,150,3,Eating Out,exact
1258,فُندُق,فُنْدُق,fundu',Hotel,hotel,Noun,City & Places,words+phrases,151,3,Accommodation,exact
1092,غُرفة,أُوضَة,ooda,room,room,Noun,Household,words+phrases,152,4,Dictionary,english-only
1167,بُرتُقالي,بُرْتُقَالِي,burtu'aali,Orange,orange (color),Adjective,Colors,words,153,4,,exact
1283,محَطة,مَحَطَّة,ma7atte,Station,station (bus/gas),Noun,City & Places,words+phrases,154,4,Transportation,exact
1264,مَسجِد,مَسْجِد,masjid,Mosque,mosque,Noun,City & Places,words+phrases,155,4,Sightseeing,exact
1265,جامِع,جَامِع,jaami3,Mosque,mosque (large / Friday mosque),Noun,City & Places,words,156,4,,exact
141,اليوم,اليَوْم,ilyom,Today,today,Adverb,Time,words+phrases,158,4,Date,exact
143,مبَارِح,إِمْبَارِح,imbaari7,Yesterday,yesterday,Adverb,Time,words+phrases,159,4,Date,english-only
142,بُكرة,بُكْرَا,bukra,Tomorrow,tomorrow,Adverb,Time,words,160,4,,english-only
1259,بَنك,بَنْك,bank,Bank,bank,Noun,City & Places,words+phrases,162,4,Directions & Places,exact
1255,مَخبَز,مَخْبَز,makhbaz,Bakery,bakery,Noun,City & Places,words,163,4,,exact
887,مُستَشفى,مُسْتَشْفَى,mustashfa,Hospital,hospital,Noun,Health & Medical,words+phrases,164,4,Emergencies,exact
1263,جامِعة,جَامْعَة,jaam3a,University,university,Noun,City & Places,words,165,4,,exact
557,نادي,نَادَى,naada,Gym,called out to someone,Verb,Communication,words,166,4,,spelling-mismatch
1294,مَطار,مَطَار,mataar,airport,airport,Noun,Transportation,words+phrases,167,4,Transportation,exact
1659,مَصنَع,مَصْنَع,masna3,Factory,factory,Noun,Professions,words,168,4,,exact
1477,قَبيح,قَبِيح,abee7,Ugly,ugly,Adjective,Adjectives (Physical),words,169,4,,exact
1229,وِسخ,وَسِخ,wasikh,Dirty,dirty,Adjective,Household,words+phrases,170,4,Dictionary,exact
1499,مَكسور,مَكْسُور,maksoor,Broken,broken,Adjective,Adjectives (Physical),words+phrases,171,4,Dictionary,exact
1248,جِسر,جِسِر,jisir,Bridge,bridge,Noun,City & Places,words,173,4,,exact
35,عِند,عِنْد,3ind,To have,at / with (possession),Preposition,Prepositions,words+phrases,175,4,Dictionary,exact
1,أنا,أَنَا,ana,I / me,I / me,Pronoun,Pronouns,words+phrases,176,4,Personal Pronouns,exact
1210,حَديقة,حَدِيقَة,7adee'a,Park,garden / yard,Noun,Household,words,177,4,,exact
2,إنتَ,إِنْتَ,inte,You (m.),you (m. sg.),Pronoun,Pronouns,words+phrases,178,4,Personal Pronouns,exact
7,إنتو,إِنْتُو,intu,You (pl.),you (pl.),Pronoun,Pronouns,words+phrases,180,4,Personal Pronouns,exact
6,إحنا,إِحْنَا,i7na,We,we / us,Pronoun,Pronouns,words+phrases,184,4,Personal Pronouns,exact
4,هُوَّ,هُوِّ,huwwe,He,he / him,Pronoun,Pronouns,words+phrases,185,4,Personal Pronouns,exact
5,هِيَّ,هِيِّ,hiyye,She,she / her,Pronoun,Pronouns,words+phrases,186,4,Personal Pronouns,exact
8,هُمَّ,هُمِّ,humme,They,they / them,Pronoun,Pronouns,words+phrases,187,4,Personal Pronouns,exact
1247,إشارة,إِشَارَة,ishaara,Sign,traffic light / signal,Noun,City & Places,words,190,4,,exact
1132,زبالة,زِبَالَة,zibaale,"Trash, garbage",trash / garbage,Noun,Household,words,196,4,,exact
1226,فاضي,فَاضِي,faadi,Empty,empty / free / available,Adjective,Adjectives (Physical),words+phrases,207,5,Dictionary,exact
927,مَليان,مَلْيَان,malyaan,Full,fed up / full (m.),Adjective,Emotions,words+phrases,208,5,Dictionary,exact
188,بَكير,بَكِّير,bakkeer,Early,early,Adverb,Time,words+phrases,209,5,Time,exact
188,بَدري,بَكِّير,bakkeer,Early,early,Adverb,Time,words,210,5,,english-only
189,مُتأخِر,مِتْأَخِّر,mit'akhkher,Late,late,Adjective,Time,words+phrases,211,5,Time,exact
1082,حامِض,حَامِض,7aamid,Sour,sour,Adjective,Food & Drink,words,214,5,,exact
1086,مُرّ,مُرّ,murr,Bitter,bitter,Adjective,Food & Drink,words,216,5,,exact
1084,مالِح,مَالِح,maali7,Salty,salty,Adjective,Food & Drink,words,217,5,,exact
1139,جَكَيت,جَاكِيت,jaakeet,jacket,jacket,Noun,Clothing,words,218,5,,english-only
1350,حَرّ,حَرّ,7arr,Spicy,heat / hot weather,Noun,Nature & Weather,words+phrases,219,5,Weather,exact
1137,قَميص,قَمِيص,amees,shirt,shirt,Noun,Clothing,words+phrases,220,5,Dictionary,exact
1136,بَنَطلون,بَنْطَلُون,bantaloon,Trousers,pants / trousers,Noun,Clothing,words+phrases,222,5,Dictionary,exact
19,كيف,كِيف,keef,How?,how,Adverb,Question Words,words+phrases,223,5,Question words,exact
17,مين,مِين,meen,Who?,who,Pronoun,Question Words,words+phrases,224,5,Question words,exact
16,شو,شُو,shu,What?,what,Pronoun,Question Words,words+phrases,225,5,Question words,exact
21,أيمتى,إِيمْتَى,eimta,When?,when,Adverb,Question Words,words+phrases,226,5,Dictionary,spelling-mismatch
18,وَين,وَين,wein,Where?,where,Adverb,Question Words,words+phrases,227,5,Question words,exact
1142,فُستان,فُسْتَان,fustaan,dress,dress,Noun,Clothing,words,228,5,,exact
2524,أيش,إِيش,eish,What?,what (variant),Pronoun,Question Words,words,229,5,,spelling-mismatch
2661,نَظّارات,نَظَّارَات,nazzaaraat,"Glasses, spectacles",glasses / eyeglasses,Noun,Health & Medical,words+phrases,232,5,Dictionary,exact
1290,بَسْكَلِيْتّ,دَرَّاجَة,darraaje,bicycle,bicycle,Noun,Transportation,words,234,5,,english-only
131,ثَانِيِّة,ثَانْيَة,thanye,Second,second (time),Noun,Time,words+phrases,237,5,Time,exact
130,دَقِيقة,دَقِيقَة,da'ii'a,Minute,minute,Noun,Time,words+phrases,238,5,Time,exact
129,ساعة,سَاعَة,saa3a,Hour,hour / clock / watch,Noun,Time,words+phrases,239,5,Time,exact
132,يُوم,يَوْم,yom,Day,day,Noun,Time,words+phrases,240,5,Time,exact
133,أُسبُوع,أُسْبُوع,usboo3,Week,week,Noun,Time,words+phrases,241,5,Date,exact
134,شَهِر,شَهِر,shaher,Month,month,Noun,Time,words+phrases,242,5,Date,exact
135,سَنة,سَنَة,sane,Year,year,Noun,Time,words+phrases,243,5,Date,exact
142,بُكرَا,بُكْرَا,bukra,Tomorrow,tomorrow,Adverb,Time,words+phrases,248,5,Date,exact
136,صُبح,صُبُح,sub7,Morning,morning,Noun,Time,words+phrases,251,5,Time,exact
139,مَسا,مَسَا,masa,Evening,evening,Noun,Time,words+phrases,252,5,Time,exact
140,لَيل,لَيْل,leil,Nighttime,night,Noun,Time,words+phrases,253,5,Time,exact
140,لَيلة,لَيْل,leil,Night,night,Noun,Time,words+phrases,254,5,Dictionary,english-only
1091,بَيت,بَيْت,beit,House,house / home,Noun,Household,words,256,6,,exact
1101,باب,بَاب,baab,Door,door,Noun,Household,words,258,6,,exact
1111,كُرسي,كُرْسِي,kursi,Chair,chair,Noun,Household,words,259,6,,exact
1075,فُرن,فُرِن,furin,Oven,oven,Noun,Cooking,words,260,6,,exact
1103,مِفتاح,مُفْتَاح,muftaa7,Key,key,Noun,Household,words+phrases,261,6,Dictionary,exact
157,الأحَد,يَوْم الأَحَد,yom ila7ad,Sunday,Sunday,Noun,Days & Months,words,262,6,,english-only
158,الإتنَين,يَوْم الاِثْنَيْن,yom ilithnein,Monday,Monday,Noun,Days & Months,words,263,6,,english-only
159,التَلاتة,يَوْم الثَّلَاثَا,yom ittalaata,Tuesday,Tuesday,Noun,Days & Months,words,264,6,,english-only
160,الأربِعاء,يَوْم الأَرْبَعَا,yom ilarba3a,Wednesday,Wednesday,Noun,Days & Months,words,265,6,,english-only
161,الخَميس,يَوْم الخَمِيس,yom ilkhamees,Thursday,Thursday,Noun,Days & Months,words,266,6,,english-only
1126,تلفزيون,تَلَفِزْيُون,tilifizyoon,Television,television,Noun,Household,words+phrases,267,6,Dictionary,exact
162,الجُمعة,يَوْم الجُمْعَة,yom iljum3a,Friday,Friday,Noun,Days & Months,words,268,6,,english-only
163,السَبت,يَوْم السَّبْت,yom issabt,Saturday,Saturday,Noun,Days & Months,words,269,6,,english-only
1105,تَخت,تَخْت,takht,Bed,bed,Noun,Household,words,270,6,,exact
1097,حَمّام,حَمَّام,7ammaam,Bathroom,bathroom,Noun,Household,words+phrases,271,6,Dictionary,exact
797,عَيلِة,عَيْلَة,3eile,Family,family,Noun,Family,words,272,6,,exact
798,أهِل,أَهِل,ahil,Family / people,family / relatives,Noun,Family,words,273,6,,exact
171,أَب,آب,aab,Father,August,Noun,Days & Months,words+phrases,275,6,Dictionary,spelling-mismatch
833,وَلَد,وَلَد,walad,Boy,boy / child,Noun,Family,words+phrases,276,6,Dictionary,exact
803,إِبِن,اِبِن,ibin,Son,son,Noun,Family,words+phrases,277,6,Family,spelling-mismatch
804,بِنت,بِنْت,bint,"Daughter, woman",daughter / girl,Noun,Family,words+phrases,278,6,Family,exact
1216,شَقّة,شَقَّة,sha''a,Flat; appartment,apartment,Noun,Household,words,279,6,,exact
802,أُخت,أُخْت,ukht,Sister,sister,Noun,Family,words+phrases,280,6,Family,exact
385,أَخ,أَخ,akh,Brother,ouch / ugh,Interjection,Exclamations,words,281,6,,exact
1096,مَطبَخ,مَطْبَخ,matbakh,Kitchen,kitchen,Noun,Household,words+phrases,282,6,Dictionary,exact
819,زُوجة,زَوْجَة,zoje,Wife,wife,Noun,Family,words+phrases,285,6,Dictionary,exact
1062,فطور,فْطُور,ftoor,Breakfast,breakfast,Noun,Food & Drink,words+phrases,287,6,Eating Out,exact
1063,غدا,غَدَا,ghada,Lunch,lunch,Noun,Food & Drink,words+phrases,288,6,Eating Out,exact
1064,عشا,عَشَا,3asha,Dinner,dinner,Noun,Food & Drink,words+phrases,289,6,Eating Out,exact
1018,شوربة,شُورْبَة,shoorba,Soup,soup,Noun,Food & Drink,words,290,6,,exact
1048,قَهوة,قَهْوَة,ahwe,Coffee,coffee,Noun,Food & Drink,words+phrases,291,6,Dictionary,exact
1047,شاي,شَاي,shaay,Tea,tea,Noun,Food & Drink,words,292,6,,exact
1046,مَي,مَيّ,mayy,Water,water,Noun,Food & Drink,words+phrases,293,6,Dictionary,exact
1001,حَليب,حَلِيب,7aleeb,Milk,milk,Noun,Food & Drink,words+phrases,294,6,Dictionary,exact
999,سَمَك,سَمَك,samak,Fish,fish,Noun,Food & Drink,words+phrases,295,6,Dictionary,exact
997,لَحمة,لَحْمَة,la7me,Meat,meat,Noun,Food & Drink,words,296,6,,exact
1005,زَيت,زَيْت,zeit,Oil,oil / olive oil,Noun,Food & Drink,words+phrases,297,6,Dictionary,exact
1007,زَيتون,زَيْتُون,zeitoon,Olives,olives,Noun,Food & Drink,words,298,6,,exact
2370,لوز,لَوْز,loz,Almonds,almonds,Noun,Food & Drink,words,299,6,,exact
996,رُزّ,رُزّ,ruzz,Rice,rice,Noun,Food & Drink,words,300,6,,exact
512,سُكَّر,سَكَّر,sakkar,Sugar,closed / locked,Verb,Common Verbs,words,301,6,,exact
1055,مَلح,مِلِح,mili7,Salt,salt,Noun,Food & Drink,words,302,6,,exact
995,خُبز,خُبِز,khubiz,Bread,bread,Noun,Food & Drink,words,303,6,,exact
1004,جِبنة,جُبْنَة,jubne,Cheese,cheese,Noun,Food & Drink,words,304,6,,exact
1002,لَبن,لَبَن,laban,Yoghurt,yogurt,Noun,Food & Drink,words,305,6,,exact
1000,بَيض,بَيْض,beid,Egg,eggs,Noun,Food & Drink,words,306,7,,exact
1037,تُفّاح,تُفَّاح,tuffaa7,Apple,apple,Noun,Food & Drink,words,308,7,,exact
1038,موز,مُوز,mooz,Banana,banana,Noun,Food & Drink,words,309,7,,exact
1040,لَيمون,لَيْمُون,leimoon,Lemon,lemon,Noun,Food & Drink,words,310,7,,exact
1043,بَطّيخ,بَطِّيخ,batteekh,Watermelon,watermelon,Noun,Food & Drink,words,311,7,,exact
1042,تَين,تِين,teen,Figs,figs,Noun,Food & Drink,words,312,7,,exact
1025,خُضَر,خُضْرَا,khudra,Vegetables,vegetables,Noun,Food & Drink,words,313,7,,english-only
1031,بَطاطا,بَطَاطَا,bataata,Potato,potato,Noun,Food & Drink,words,314,7,,exact
1029,بَصل,بَصَل,basal,Onion,onion,Noun,Food & Drink,words,316,7,,exact
1030,تومة,ثُوم,thoom,Garlic,garlic,Noun,Food & Drink,words,317,7,,english-only
1068,فِنجان,فِنْجَان,finjaan,Cup,small coffee cup,Noun,Food & Drink,words,318,7,,exact
1067,كاسة,كَاسَة,kaase,Drinking glass,glass / cup,Noun,Food & Drink,words+phrases,320,7,Dictionary,exact
1027,بَندورة,بَنَدُورَة,banadoora,Tomato,tomato,Noun,Food & Drink,words,321,7,,exact
1066,صَحن,صَحِن,sa7in,Plate,plate / dish,Noun,Food & Drink,words+phrases,322,7,Dictionary,exact
885,دُكتور,دُكْتُور,duktoor,Doctor,doctor,Noun,Health & Medical,words+phrases,323,7,Emergencies,exact
669,وَجع,وَجَع,waja3,Pain,hurt / ached,Verb,Health & Medical,words,324,7,,exact
1337,شَمس,شَمِس,shamis,Sun,sun,Noun,Nature & Weather,words+phrases,325,7,Weather,exact
1338,قَمر,قَمَر,amar,Moon,moon,Noun,Nature & Weather,words,326,7,,exact
1361,شَجَرة,شَجَرَة,shajara,Tree,tree,Noun,Nature & Weather,words,327,7,,exact
128,وَقت,وَقْت,wa't,Time,time,Noun,Time,words+phrases,328,7,Dictionary,exact
1288,تاكسي,تَاكْسِي,taaksi,Taxi,taxi,Noun,Transportation,words+phrases,330,7,Dictionary,exact
1285,سَيارة,سَيَّارَة,sayyaara,Car,car,Noun,Transportation,words+phrases,331,7,Transportation,exact
1601,فَصل,فَصِل,fasil,Season (time of year),semester / term,Noun,Education,words,332,7,,exact
178,رَبيع,الرَّبِيع,irrabee3,Spring,spring,Noun,Days & Months,words+phrases,333,7,Weather,english-only
1286,باص,بَاص,baas,Bus,bus,Noun,Transportation,words+phrases,334,7,Transportation,exact
176,صَيف,الصَّيْف,isseif,Summer,summer,Noun,Days & Months,words+phrases,335,7,Weather,english-only
1344,شِتا,شِتَا,shita,Winter,rain / winter rain,Noun,Nature & Weather,words+phrases,337,7,Weather,exact
1293,طَيارة,طَيَّارَة,tayyaara,Aeroplane,airplane,Noun,Transportation,words+phrases,338,7,Transportation,exact
476,صِفر,صَفِر,sifir,Zero,zero (0),Noun,Numbers,words+phrases,339,7,Numbers,exact
82,واحَد,وَاحَد,waa7ad,One,one (1),Noun,Numbers,words+phrases,340,7,Numbers,exact
87,أَربَعة,أَرْبَعَة,arba3a,Four,four (4),Noun,Numbers,words+phrases,343,7,Numbers,exact
88,خَمسة,خَمْسَة,khamse,Five,five (5),Noun,Numbers,words+phrases,344,7,Numbers,exact
89,سِتّة,سِتَّة,sitte,Six,six (6),Noun,Numbers,words+phrases,345,7,Numbers,exact
90,سَبعة,سَبْعَة,sab3a,Seven,seven (7),Noun,Numbers,words+phrases,346,7,Numbers,exact
92,تِسعة,تِسْعَة,tis3a,Nine,nine (9),Noun,Numbers,words+phrases,348,7,Numbers,exact
93,عَشرة,عَشَرَة,3ashara,Ten,ten (10),Noun,Numbers,words+phrases,349,7,Numbers,exact
197,مَرة,مَرَّة,marra,Woman,once / one time,Noun,Time,words+phrases,350,7,Dictionary,exact
839,ناس,نَاس,naas,People,people,Noun,Family,words,352,7,,exact
