Situation,Arabic,Transliteration,English
"Conversation","ال","al","The Functional"
"Conversation","وُ","woo","And Functional"
"Conversation","وَلا","wala","Or Functional"
"Conversation","مُمكِن","moomkin","Maybe Functional"
"Conversation","في ...؟","fee ...?","Is there ...?"
"Conversation","اه في","ah fee","Yes there is"
"Conversation","لا ما في","la ma fee","No there isn't"
"Conversation","كُلّشي","koollshee","Everything"
"Conversation","كتير","kteer","Very Adjective"
"Conversation","شوَي","shway","A little Adjective"
"Conversation","كَمان","kaman","Also Functional"
"Conversation","شو بِدَّك؟","shoo biddak?","What do you want?"
"Conversation","أنا بِدّي ...","ana biddee","I want ..."
"Conversation","شو بِدَّك تاكُل؟","shoo biddak takool?","What do you want to eat?"
"Conversation","أنا بِدّي آكُل","ana biddee aakool","I want to eat ..."
"Conversation","شو بِدَّك تَعمِل؟","shoo biddak ta3mil?","What do you want to do?"
"Conversation","أنا بِدّي أعمِل","ana biddee a3mil","I want to do ..."
"Conversation","شو بِدَّك تِلعِب؟","shoo biddak til3ib?","What do you want to play?"
"Conversation","أنا بِدّي ألعِب","ana biddee al3ib","I want to play ..."
"Conversation","مين بِدَّك تشوف؟","meen biddak tshoof?","Who do you want to see?"
"Conversation","أنا بِدّي أشوف","ana biddee ashoof","I want to see ..."
"Conversation","شو بِدَّك تُدرُس؟","shoo biddak toodroos?","What do you want to study?"
"Conversation","أنا بِدّي أُدرُس","ana biddee oodroos","I want to study ..."
"Conversation","مَع مين بِدَّك تَحكي؟","ma3 meen biddak taHkee?","Who do you want to speak with?"
"Conversation","أنا بِدّي أحكي مع ...","ana biddee aHkee m3","I want to speak with ..."
"Conversation","شو بِدَّك تَعمِل بُكرة","shoo biddak ta3mil bookra","What will you do tomorrow?"
"Conversation","شو بِدّنا نَعمِل بُكرة","shoo biddna na3mil bookra","What shall we do tomorrow?"
"Conversation","وَين بِدَّك تروح؟","wayn biddak trooH?","Where do you want to go?"
"Conversation","شو بِدَّك تاكُل","shoo biddak takool","What do you want to eat?"
"Conversation","شو بِدَّك تَعمِل","shoo biddak ta3mil","What do you want to do?"
"Conversation","إعطيني ...","i3Teenee","Give me ..."
"Conversation","أنا بَعطيك ...","ana ba3Teek","I give you ..."
"Numbers","صِفر","Sifr","Zero Noun"
"Numbers","واحَد","waHad","One Noun"
"Numbers","إتنِين","itnin","Two Noun"
"Numbers","تَلاتة","talata","Three Noun"
"Numbers","أَربَعة","arba3a","Four Noun"
"Numbers","خَمسة","khamsa","Five Noun"
"Numbers","سِتّة","sitta","Six Noun"
"Numbers","سَبعة","sab3a","Seven Noun"
"Numbers","تَمانِية","tamania","Eight Noun"
"Numbers","تِسعة","tis3a","Nine Noun"
"Numbers","عَشرة","3ashra","Ten Noun"
"Numbers","عَشرين","3ashreen","Twenty Noun"
"Numbers","تلاتين","tlateen","Thirty Noun"
"Numbers","أربَعين","arba3een","Forty"
"Numbers","خَمسين","khamseen","Fifty"
"Numbers","سِتّين","sitteen","Sixty"
"Numbers","سَبعين","sab3een","Seventy"
"Numbers","تَمَنين","tamaneen","Eighty"
"Numbers","تِسعين","tis3een","Ninety"
"Numbers","ميّة","meeeea","One hundred"
"Numbers","مئتين","m2teen","Two hundred Noun"
"Numbers","تَلَت ميّة","talat meeeea","Three hundred"
"Numbers","ألف","alf","One thousand"
"Numbers","ألفَين","alfayn","Two thousand"
"Numbers","واحَد","waHad","One (m) Noun"
"Numbers","وَحَدة","waHada","One (f)"
"Numbers","ثنين","thneen","Two (m) Noun"
"Numbers","تنتين","tnteen","Two (f) Noun"
"Numbers","تَلَت","talat","Three"
"Numbers","أربع","arb3","Four Noun"
"Numbers","خمس","khms","Five Noun"
"Numbers","ست","st","Six Noun"
"Numbers","سبع","sb3","Seven Noun"
"Numbers","تَمَن","taman","Eight"
"Numbers","تسع","ts3","Nine Noun"
"Numbers","عشر","3shr","Ten Noun"
"Directions & Places","وَين ال... ؟","wayn il-... ?","Where is the ... ? 6 options"
"Directions & Places","بِدّي أروح عَلى ال...","biddee arooH 3ala il-...","I want to go to the ... 6 options"
"Directions & Places","هادا الطَريق ل...؟","hada iT-Tareeq l...?","Is this the way to ...?"
"Directions & Places","مُمكِن بِتفُرجيني عالخَريطة","moomkin bitfoorjeenee 3alkhareeTa","Can you show me on the map?"
"Directions & Places","شو العَنوان","shoo il-3anooan","What's the address?"
"Directions & Places","قَدَّيش هو بَعيد مِن هون؟","qaddaysh hoo ba3eed min hoon?","How far is it from here?"
"Directions & Places","كيف بوصِل هُناك؟","keef booSil hoonak?","How do I get there?"
"Directions & Places","كَمِّل دُغري","kammil dooghree","Continue straight ahead"
"Directions & Places","خُد الشمال","khood ish-shmal","Take the left"
"Directions & Places","خُد اليمين","khood il-eemeen","Take the right"
"Directions & Places","خُد الشمال بَعد البَنك","khood ish-shmal ba3d il-bank","Take the left after the bank"
"Directions & Places","شمال","shmal","Left"
"Directions & Places","يمين","ymeen","Right"
"Directions & Places","دُغري","dooghree","Straight ahead Adjective"
"Directions & Places","قُدَّام","qooddam","In front of Functional"
"Directions & Places","وَراء","wara2","Behind Functional"
"Directions & Places","قَبل","qabl","Before Functional"
"Directions & Places","بَعد","ba3d","After Functional"
"Directions & Places","جَنب","janb","Next to Functional"
"Directions & Places","شمال","shmal","North"
"Directions & Places","شَرق","sharq","East"
"Directions & Places","جَنوب","janoob","South"
"Directions & Places","غَرب","gharb","West"
"Directions & Places","فَوق ال ...","fawq al","Above the ..."
"Directions & Places","تَحت ال ...","taHt al","Below the ..."
"Directions & Places","قَريب مِن","qareeb min","Close to"
"Directions & Places","بَعيد مِن","ba3eed min","Far from"
"Directions & Places","قَريب مِن هون","qareeb min hoon","Near here"
"Directions & Places","بَعيد مِن هون","ba3eed min hoon","Far from here"
"Directions & Places","هُوَّ قَريب مِن هون؟","hooa qareeb min hoon?","Is it near here?"
"Directions & Places","عالزاوية","3alzaooeea","On the corner"
"Directions & Places","هون","hoon","Here Functional"
"Directions & Places","هُناك","hoonak","There Functional"
"Directions & Places","غاد","ghad","Over there"
"Directions & Places","قَدَيش هُوَّ بَعيد مِن هون؟","qadaysh hooa ba3eed min hoon?","How far is it from here?"
"Directions & Places","دَقيقتَين عالمَشي","daqeeqtayn 3almashee","Two minutes by walking"
"Directions & Places","إعبِر الشارِع","i3bir ish-shari3","Cross the street"
"Directions & Places","مَدينة","madeena","City Noun"
"Directions & Places","قُرية","qooreea","Village"
"Directions & Places","مَركِز المَدينة","markiz il-madeena","Center of town"
"Directions & Places","بَريد","bareed","Post office"
"Directions & Places","بَنك","bank","Bank Noun"
"Directions & Places","سوق","sooq","Market Noun"
"Transportation","مَكتَب التَذاكِر","maktab it-tadhakir","The ticket office"
"Transportation","مِن وَين بَشتَري التَذكِرة؟","min wayn bashtaree it-tadhkira?","Where can I buy a ticket?"
"Transportation","قَدَّيش التَذكِرة","qaddaysh it-tadhkira","How much is a ticket?"
"Transportation","ما عِندي تَذكِرة","ma 3indee tadhkira","I don't have a ticket"
"Transportation","بِدّي تَذكِرة","biddee tadhkira","I need a ticket"
"Transportation","لازِم أحجِز مَقعَد؟","lazim aHjiz maq3ad?","Do I need to reserve a seat?"
"Transportation","بِدّي ألغي التَذكِرة","biddee alghee it-tadhkira","I want to cancel the ticket"
"Transportation","بِدّي أغَيِّر التَذكِرة","biddee aghayyir it-tadhkira","I want to change the ticket"
"Transportation","بِدّي آخُد التَذكِرة","biddee aakhood it-tadhkira","I want to take the ticket"
"Transportation","إتِجاه واحِد","itijah waHid","One way"
"Transportation","عَودة","3awda","Return"
"Transportation","رِحلة","riHla","Trip Noun"
"Transportation","مَتى بِطلَع؟","mata biTla3?","When does it leave?"
"Transportation","أنا بَركَب ال...","ana barkab il-...","I ride the ... 5 options"
"Transportation","هادا ال... ل..؟","hada il-... l..?","Is this the ... to ..? 5 options"
"Transportation","أيش هادي المَحَطّة؟","aeesh hadee il-maHaTTa?","Which stop is this?"
"Transportation","بِوَقِّف عِند ...","biwaqqif 3ind","Does it stop at ..."
"Transportation","بِوَقِّف بِ ...","biwaqqif bi","Does it stop in ...?"
"Transportation","نَزِّلني هون","nazzilnee hoon","Let me off here"
"Transportation","هادا الكُرسي فاضي؟","hada il-koorsee faDee?","Is this seat free?"
"Transportation","هداك الكُرسي إلي","hdak il-koorsee ilee","That seat is mine"
"Transportation","كَم ساعة بتاخُد الرِحلة؟","kam sa3a btakhood ir-riHla?","How long does the journey take?"
"Transportation","الطَريق مُباشِر؟","iT-Tareeq moobashir?","Is it a direct route?"
"Transportation","باص","baS","Bus Noun"
"Transportation","قطار","qTar","Train Noun"
"Transportation","سَيارة","sayara","Car Noun"
"Transportation","طَيارة","Tayara","Plane Noun"
"Transportation","سَفينة","safeena","Boat Noun"
"Transportation","بِدّي تَكسي","biddee taksee","I want a taxi"
"Transportation","وَين التَكاسي؟","wayn it-takasee?","Where are the taxis?"
"Transportation","قَدَّيش الإجرة ل...؟","qaddaysh il-ijra l...?","How much is it to ...?"
"Transportation","وَصِّلني عند (هادا العَنوان)","waSSilnee 3nd (hada il-3anooan)","Take me to (this address)"
"Transportation","شَغِّل العَدّاد لَوسَمحت","shaghghil il-3addad lawsamHt","Put the meter on please"
"Transportation","وَقِّف هون","waqqif hoon","Stop here"
"Transportation","إستَنى هون دَقيقة","istana hoon daqeeqa","Wait here a minute"
"Transportation","بِدّي أستأجِر سَيارة","biddee astajir sayara","I want to rent a car"
"Transportation","... مع سائق","m3 sa2q","... with a driver"
"Transportation","بِالمُكَيِّف","bialmookayyif","... with air conditioning"
"Transportation","قَدَّيش الإجرة ليوم؟","qaddaysh il-ijra leeoom?","How much daily?"
"Transportation","قَدَّيش الإجرة لأُسبوع؟","qaddaysh il-ijra loosboo3?","How much weekly?"
"Transportation","بِدّي ميكانيكي","biddee meekaneekee","I need a mechanic"
"Transportation","خَلَص البَنزين بِالسَيارة","khalaS il-banzeen bialsayara","I've run out of petrol"
"Transportation","العَجل السَيارة ما فيه هَوا","il-3ajl is-sayara ma feeh hawa","I have a flat tyre"
"Transportation","محَطة","mHaTa","Station Noun"
"Transportation","محَطّة الباص","mHaTTa il-baS","Bus station"
"Transportation","محَطّة القطار","mHaTTa il-qTar","Train station"
"Transportation","مَطار","maTar","Airport Noun"
"Eating Out","في ... ؟","fee ?","Is there ... ? 14 options"
"Eating Out","بِدّي ...","biddee","I would like ... 14 options"
"Eating Out","بِدّي طَولة ل...","biddee Tawla l...","I want a table for ... (people) 10 options"
"Eating Out","أَكِل","akil","Food Noun"
"Eating Out","شو تَنصِحني؟","shoo tanSiHnee?","What do you recommend me?"
"Eating Out","بِدّي أُطلُب أكل","biddee ooTloob akl","I would like to order food"
"Eating Out","أنا ما باكُل لَحمة","ana ma bakool laHma","I don't eat meat"
"Eating Out","عِندي حَساسية مِن ...","3indee Hasaseea min","I've an allergy to ... 4 options"
"Eating Out","بِدّي إياه مَع ...","biddee ieeah ma3","I want it with ..."
"Eating Out","بِدّي إياه بِدون ...","biddee ieeah bidoon","I want it without ..."
"Eating Out","لِلسَفِرة","lilsafira","For take away"
"Eating Out","وَجبة","wajba","Dish (portion) Noun"
"Eating Out","لِلسَفِرة","lilsafira","For take away"
"Eating Out","بِدّي ال... لَو سمَحت","biddee il-... law smaHt","I'd like the ... please 4 options"
"Eating Out","حُمُّص","HoommooS","Hummus"
"Eating Out","فَلافَل","falafal","Falafel"
"Eating Out","فول","fool","Fool (beans) Noun"
"Eating Out","سَلَطة","salaTa","Salad Noun"
"Eating Out","مُتَبَّل","mootabbal","Mutabal"
"Eating Out","بابا غانوش","baba ghanoosh","Baba ghanoush"
"Eating Out","تَبولة","taboola","Tabooleh"
"Eating Out","مَقلوبة","maqlooba","Maqloobeh"
"Eating Out","وَرَق عِنب","waraq 3inb","Stuffed grape leaves"
"Eating Out","مَنسَف","mansaf","Mansaf"
"Eating Out","كِبّة","kibba","Kibbeh"
"Eating Out","مسَخَّن","msakhkhan","Msakhan"
"Eating Out","أُوزي","oozee","Oozi"
"Eating Out","مَناقيش","manaqeesh","Manaqeesh"
"Eating Out","فطور","fToor","Breakfast Noun"
"Eating Out","غدا","ghda","Lunch Noun"
"Eating Out","عشا","3sha","Dinner Noun"
"Eating Out","حِساب","Hisab","Bill Noun"
"Eating Out","قائمة المَشروبات","qa2ma il-mashroobat","Drinks list"
"Eating Out","مينيو","meeneeoo","Menu"
"Eating Out","وَجبة الخاصة","wajba il-khaSa","Speciality dish"
"Eating Out","مَقهى","maqha","Café Noun"
"Eating Out","مَطعَم","maT3am","Restaurant Noun"
"Eating Out","مَطعَم شَعبي","maT3am sha3bee","Local restaurant"
"Eating Out","مَطعَم راقي","maT3am raqee","Fancy restaurant"
"Eating Out","بار","bar","Bar"
"Eating Out","حَلال","Halal","Halal Adjective"
"Eating Out","نَباتي","nabatee","Vegetarian Noun"
"Eating Out","كوشر","kooshr","Kosher"
"Eating Out","فيغان","feeghan","Vegan"
"Eating Out","الألبان","il-alban","Dairy produce"
"Eating Out","الغلوتين","il-ghlooteen","Gluten"
"Eating Out","المُكَسَرات","il-mookasarat","Nuts"
"Eating Out","الأكل البَحَري","il-akl il-baHaree","Seafood"
"Shopping","وَين ...؟","wayn ...?","Where's a ...? 9 options"
"Shopping","كَم السَعر؟","kam is-sa3r?","What's the price?"
"Shopping","قَدَيش سَعرُه؟","qadaysh sa3rooh?","How much does it cost?"
"Shopping","هادا غالي","hada ghalee","That's expensive"
"Shopping","هادا رخيص","hada rkheeS","That's cheap"
"Shopping","في عِندَك ... ؟","fee 3indak ?","Do you have any ... ?"
"Shopping","بِدّي ... لَو سمَحت","biddee law smaHt","I'd like ... please 4 options"
"Shopping","مُمكِن بَدفع ...؟","moomkin badf3 ...?","Can I pay with ...? 3 options"
"Shopping","ما عِندي فراطا","ma 3indee fraTa","I don't have any change"
"Shopping","مَعي بَس ... ليرا","ma3ee bas leera","I only have ... lira 18 options"
"Shopping","بدَوِّر عَلى ...","bdawwir 3ala","I'm looking for a ..."
"Shopping","فُرجيني إياه","foorjeenee ieeah","Show me it"
"Shopping","في غيرُه؟","fee gheerooh?","Do you have any others?"
"Shopping","هُوَّ خَربان","hooa kharban","It's broken"
"Shopping","بِدّي ...","biddee","I'd like ... (quantity) 5 options"
"Shopping","مَكتَبة","maktaba","Bookshop Noun"
"Shopping","مَحَلّ الكاميرات","maHall il-kameerat","Camera shop"
"Shopping","مَحَلّ المَنوعات","maHall il-manoo3at","Department store"
"Shopping","بَقالة","baqala","Grocery store Noun"
"Shopping","وكالة الأنباء","wkala il-anba2","Newsagency"
"Shopping","مَحَلّ التَذكارات","maHall it-tadhkarat","Souvenir shop"
"Shopping","سوبر ماركِت","soobr markit","Super market"
"Shopping","دُكّانة","dookkana","Small shop Noun"
"Shopping","مَحَلّ","maHall","Store Noun"
"Shopping","مَفتوح","maftooH","Open"
"Shopping","مسَكِّر","msakkir","Closed"
"Shopping","مَدخَل","madkhal","Entrance Noun"
"Shopping","مَخرَج","makhraj","Exit Noun"
"Shopping","إدفَع","idfa3","Push"
"Shopping","إسحَب","isHab","Pull"
"Shopping","مَمنوع","mamnoo3","Forbidden Adjective"
"Shopping","كيس","kees","A bag Noun"
"Shopping","الباقي","il-baqee","The change Noun"
"Shopping","وَصل","waSl","A receipt Noun"
"Shopping","إستِرداد مال","istirdad mal","A refund"
"Shopping","فَراطة","faraTa","Cash Noun"
"Shopping","كَرط","karT","Card"
"Shopping","شَيكات","shaykat","Cheques"
"Shopping","... غرام","ghram","... Grams 8 options"
"Shopping","... كيلو","keeloo","... Kilograms 10 options"
"Shopping","... ليتر","leetr","... Litres 10 options"
"Shopping","... قِطع","qiT3","... Pieces 12 options"
"Shopping","... شَرايح","sharaeeH","Slices 12 options"
"Accommodation","فُندُق","foondooq","Hotel Noun"
"Accommodation","نُزُل","noozool","Hostel"
"Accommodation","وَين أقرَب فُندُق؟","wayn aqrab foondooq?","Where's the nearest hotel?"
"Accommodation","بِدّي غُرفة لَلَيلة وَحدة","biddee ghoorfa lalayla waHda","I want a room for one night"
"Accommodation","غُرفة مُفَرِدة","ghoorfa moofarida","Single room"
"Accommodation","قَدَيش سَعر اللَيلة؟","qadaysh sa3r il-layla?","What's the price for one night?"
"Accommodation","قَدَيش سَعر الأُسبوع؟","qadaysh sa3r il-oosboo3?","What's the price for a week?"
"Accommodation","مُمكِن أشوف الغُرفة؟","moomkin ashoof il-ghoorfa?","Can I see the room?"
"Accommodation","تَمام باخُدها","tamam bakhoodha","Ok I'll take it"
"Accommodation","أنا عِندي حَجز","ana 3indee Hajz","I have a reservation"
"Accommodation","ما عِندي حَجز","ma 3indee Hajz","I don't have a reservation"
"Accommodation","أنا حَجَزت غُرفة بِإسم ...","ana Hajazt ghoorfa biism","I reserved a room in the name of ..."
"Accommodation","مَتى ساعة الخروج؟","mata sa3a il-khrooj?","What time is checkout?"
"Accommodation","بِدّي غُرفة تانية","biddee ghoorfa taneea","I want a different room"
"Accommodation","أنا نسيت مُفتاحي بِالغُرفة","ana nseet mooftaHee bialghoorfa","I forgot my key in the room"
"Accommodation","في وَيفَي بِالغُرفة؟","fee wayfay bialghoorfa?","Is there Wi-Fi in the room?"
"Accommodation","في حَمّام خاص؟","fee Hammam khaS?","Is there a private bathroom?"
"Accommodation","أيش كَلمة السِرّ لِلوَيفَي","aeesh kalma is-sirr lilwayfay","What's the Wi-Fi password"
"Time","قَدَّيش الساعة?","qaddaysh is-sa3a?","What's the time?"
"Time","ال...","il-...","It's ... 12 options"
"Time","ال... و نُص","il-... w nooS","It's half past ... 12 options"
"Time","ال... و رُبِعة","il-... w roobi3a","It's quarter past ... 12 options"
"Time","ال... إلا رُبِعة","il-... ila roobi3a","It's quarter to ... 12 options"
"Time","عأي ساعة؟","3aee sa3a?","At what time?"
"Time","ع ...","3","At ... 12 options"
"Time","هَلَّأ","hallaa","Now Functional"
"Time","بَعدَين","ba3dayn","Later Functional"
"Time","قَبل","qabl","Earlier Functional"
"Time","بَعد ساعة","ba3d sa3a","An hour later"
"Time","قَبل ساعة","qabl sa3a","An hour ago"
"Time","بَعد شْوَي","ba3d shway","A little later"
"Time","قَبل شْوَي","qabl shway","Not long little ago"
"Time","مُتأخِر","mootakhir","Late Adjective"
"Time","بَكير","bakeer","Early Adjective"
"Time","قَريباً","qareeban","Soon Functional"
"Time","نَهار","nahar","Daytime Noun"
"Time","صُبح","SoobH","Morning Noun"
"Time","ظُهر","Zoohr","Noon Noun"
"Time","بَعد الظُهر","ba3d iZ-Zoohr","Afternoon"
"Time","مَسا","masa","Evening Noun"
"Time","لَيل","layl","Nighttime Noun"
"Time","نُص اللَيل","nooS il-layl","Midnight"
"Time","ثَانِيِّة","thaniia","Second Noun"
"Time","ثَواني","thawanee","Seconds"
"Time","دَقِيقة","daqiqa","Minute Noun"
"Time","دَقايق","daqaeeq","Minutes"
"Time","ساعة","sa3a","Hour Noun"
"Time","ساعات","sa3at","Hours Noun"
"Time","يُوم","yoom","Day Noun"
"Time","أيام","aeeam","Days"
"Time","ساعة وَحدة","sa3a waHda","One o'clock"
"Time","ساعة تِنتَين","sa3a tintayn","Two o'clock"
"Time","ساعة تَلاتة","sa3a talata","Three o'clock"
"Time","ساعة أربعة","sa3a arb3a","Four o'clock"
"Time","ساعة خَمسَة","sa3a khamsaa","Five o'clock"
"Time","ساعة سِتّة","sa3a sitta","Six o'clock"
"Time","ساعة سَبعة","sa3a sab3a","Seven o'clock"
"Time","ساعة تَمَنية","sa3a tamaneea","Eight o'clock"
"Time","ساعة تِسعة","sa3a tis3a","Nine o'clock"
"Time","ساعة عَشَرة","sa3a 3ashara","Ten o'clock"
"Time","ساعة حَدعَش","sa3a Had3ash","Eleven o'clock"
"Time","ساعة تنَعش","sa3a tna3sh","Twelve o'clock"
"Date","شو اليوم","shoo il-eeoom","What day is it today?"
"Date","اليوم ...","il-eeoom","Today it's ... 7 options"
"Date","يوم الأحَد","yoom il-aHad","Sunday"
"Date","يوم الإتنين","yoom il-itneen","Monday"
"Date","يوم التَلات","yoom it-talat","Tuesday"
"Date","يوم الأربِعة","yoom il-arbi3a","Wednesday"
"Date","يوم الخَميس","yoom il-khamees","Thursday"
"Date","يوم الجُمِع","yoom il-joomi3","Friday"
"Date","يوم السَبت","yoom is-sabt","Saturday"
"Date","اليوم","il-eeoom","Today Functional"
"Date","بُكرا","bookra","Tomorrow Functional"
"Date","مبارِح","mbariH","Yesterday Noun"
"Date","أوَّل مبارِح","aooooal mbariH","The day before yesterday"
"Date","بَعد بُكرا","ba3d bookra","The day after tomorrow"
"Date","بَعد ... أيام","ba3d aeeam","In ... days time 12 options"
"Date","قَبل ... أيام","qabl aeeam","... days ago 12 options"
"Date","الصُبح","iS-SoobH","This morning"
"Date","المَسَا","il-masa","This evening Noun"
"Date","اللّيلة","il-lleela","Tonight Functional"
"Date","هال...","hal...","This ... 3 options"
"Date","ال... الجاي","il-... il-jaee","Next ... 3 options"
"Date","ال... الماضي","il-... il-maDee","Last ... 3 options"
"Date","أُسبُوع","oosboo3","Week Noun"
"Date","شَهِر","shahir","Month Noun"
"Date","سَنة","sana","Year Noun"
"Date","أسَبيع","asabee3","Weeks"
"Date","أُشهُر","ooshhoor","Months"
"Date","سنين","sneen","Years"
"Emergencies","ساعِدني","sa3idnee","Help me"
"Emergencies","بَحتاج مُساعدة","baHtaj moosa3da","I need help"
"Emergencies","عِندي حالة طارئة","3indee Hala Tar2a","I have an emergency"
"Emergencies","لا تِلمِسني","la tilmisnee","Don't touch me"
"Emergencies","وَين ال...؟","wayn il-...?","Where is the ...? 6 options"
"Emergencies","إترِكني لِجالي","itriknee lijalee","Leave me alone"
"Emergencies","أنا ضايع","ana Daee3","I'm lost"
"Emergencies","أنا ضَيِّعت ...ي","ana Dayyi3t ...ee","I lost my ... 6 options"
"Emergencies","شُرطة!","shoorTa!","Police!"
"Emergencies","حرامي","Hramee","Thief!"
"Emergencies","وَقِّف حرامي","waqqif Hramee","Stop thief!"
"Emergencies","نادي شُرطي","nadee shoorTee","Call a police officer"
