Page,Word,Transliteration,Details
"7","زَعِل","za3il","To become upset"
"7","حَلِم","Halim","To dream"
"8","نَزِل","nazil","To go down"
"8","تَعِب","ta3ib","To become tired"
"8","فَتَح","fataH","To open"
"8","بَعَث","ba3ath","To send"
"8","دَفَع","dafa3","To pay"
"8","مَزَح","mazaH","To joke"
"8","كَرِه","karih","To hate"
"8","طَلِع","Tali3","To go up / rise"
"8","نَفَع","nafa3","To benefit / be of use to"
"8","سَرَق","saraq","To steal"
"8","شَكَر","shakar","To thank"
"8","طَبَخ","Tabakh","To cook"
"8","طَلَب","Talab","To ask for / order / request"
"8","رَسَم","rasam","To draw"
"8","فاق","faq","To wake up"
"8","زار","zar","To visit"
"8","جاع","ja3","To become hungry"
"8","ذاق","dhaq","To taste"
"8","بَكى","baka","To cry"
"8","نَوى","nawa","To intend"
"8","لَفّ","laff","To turn / wrap / roll / tour"
"8","رَنّ","rann","To phone / ring"
"8","شَمّ","shamm","To smell"
"8","قَحّ","qaHH","To cough"
"8","وَصِل","waSil","To arrive"
"8","اسْتَنّا","astanna","To wait"
"8","غَيَّر","ghayyar","To change"
"8","جَرَّب","jarrab","To try / attempt"
"8","كَذَّب","kadhdhab","To lie"
"8","سَكَّر","sakkar","To close"
"8","وَقَّف","waqqaf","To stop"
"8","بَلَّش","ballash","To start"
"8","خَلَّص","khallaS","To finish"
"8","خَرَّب","kharrab","To ruin / mess up"
"8","عَلَّم","3allam","To teach"
"8","نَظَّف","naZZaf","To clean"
"8","صَوَّر","Sawwar","To photograph"
"8","قَرَّر","qarrar","To decide"
"8","رَكَّز","rakkaz","To concentrate / focus"
"8","خَلَّى","khallaa","To allow / let"
"8","صَلَّى","Sallaa","To pray"
"8","غَنَّى","ghannaa","To sing"
"8","خَبَّى","khabbaa","To hide"
"8","فَرْجَى","farjaa","To show"
"8","سافَر","safar","To travel"
"8","تَخَيَّل","takhayyal","To imagine"
"8","تَنَفَّس","tanaffas","To breathe"
"8","تَفَرَّج","tafarraj","To watch"
"8","تَطَلَّع","taTalla3","To look at"
"8","تَأَخَّر","taakhkhar","To be late"
"9","تَمَنّى","tamanna","To wish / hope"
"9","ابْتَسَم","abtasam","To smile"
"9","اخْتار","akhtar","To choose / pick"
"9","اشْتاق","ashtaq","To miss / long for"
"9","ارْتاح","artaH","To rest"
"9","فَلَسطين","falasTeen","Palestine"
"9","بَلَد","balad","Country"
"9","حال","Hal","Situation / condition"
"9","سياسة","seeasa","Politics"
"9","دَولة","dawla","State"
"9","حَكومة","Hakooma","Government"
"9","رَئيس","ra2ees","president"
"9","أرض","arD","Land"
"9","حَدود","Hadood","Border"
"9","دين","deen","Religion"
"9","حُرّية","Hoorreea","Freedom"
"9","مَدرَسة","madrasa","School"
"9","مُعَلِّم","moo3allim","Teacher"
"9","طالِب","Talib","Student"
"9","دَرس","dars","Class"
"9","كِتاب","kitab","Book"
"9","قانون","qanoon","Law"
"9","قَلم","qalm","Pen"
"9","حَق","Haq","Right"
"9","دَفتِر","daftir","Notebook"
"9","لُغة","loogha","Language"
"9","مَحَلّ","maHall","Shop"
"9","سَعر","sa3r","Price"
"9","حَرب","Harb","War"
"9","سَلام","salam","Peace"
"9","رياضة","reeaDa","Sport"
"9","كُرة","koora","قَدم Football"
"9","قَدم","qadm","كُرة  Football"
"9","سِباحة","sibaHa","Swimming"
"9","هَداك","hadak","That"
"9","هَديك","hadeek","That (fem.)"
"9","هَدُولاك","hadoolak","That (plur.)"
"9","خَفِيف","khafif","Light (Weight)"
"9","بَطِيء","baTi2","Slow"
"9","سَرِيع","sari3","Fast"
"9","بَس","bas","But"
"9","لَو","law","If (usually used in past tense)"
"9","إذا","idha","If / whether"
"9","ضَيِق","Dayiq","Narrow / Tight"
"9","كَمان","kaman","Also"
"9","عَرِيض","3ariD","Wide / Broad"
"9","لَمّا","lamma","When"
"9","صَعِب","Sa3ib","Difficult"
"9","سَهِل","sahil","Easy"
"9","رَخِيص","rakhiS","Cheap"
"9","غالِي","ghali","Expensive"
"10","بارِد","barid","Cold"
"10","شَوب","shawb","Hot"
"10","سَلَّم","sallam","To greet"
"10","ضاوي","Daooee","Light"
"10","وَدَّع","wadda3","To say goodbye to"
"10","هادي","hadee","Quiet"
"10","عالي","3alee","Loud"
"10","سَيء","say2","Bad"
"10","منِيح","mniH","Good"
"10","ضايَق","Dayaq","To annoy / bother"
"10","تَضايَق","taDayaq","To be annoyed"
"10","مِتحَمِّس","mitHammis","Excited"
"10","فَخُور","fakhoor","Proud...ب"
"10","تَعِيس","ta3is","Miserable"
"10","مِن","min","From / of / since"
"10","مِتزَعِج","mitza3ij","Annoyed"
"10","حَتَّى","Hattaa","Until"
"10","مِتضايِق","mitDayiq","Bothered"
"10","بِدُون","bidoon","Without (with an absence of)"
"10","مِتفاجئ","mitfaj2","Surprised"
"10","عَن","3an","About"
"10","قَلقان","qalqan","Worried...على"
"10","تَرَك","tarak","To leave"
"10","زَيّ","zayy","Like"
"10","خَجلان","khajlan","Embarrassed / ashamed"
"10","شَرَح","sharaH","To explain"
"10","مِستَحِي","mistaHi","Shy / ashamed"
"10","خَسِر","khasir","To lose"
"10","فاز","faz","To win"
"10","غَلَب","ghalab","To beat / win against"
"10","باس","bas","To kiss"
"10","عَلَى","3alaa","On, Above"
"10","بَرَّا","barra","Outside"
"10","جُوَّا","jooa","Inside"
"10","فَوق","fawq","Up, above"
"10","تَحت","taHt","Under, Below"
"10","هَلَّأ","hallaa","Now"
"10","قَبل","qabl","Before"
"10","بَعد","ba3d","After"
"10","بَعدَين","ba3dayn","Later"
"10","شَلَح","shalaH","To take off (clothes)"
"10","لَبِس","labis","To wear (clothes)"
"10","دُغري","dooghree","Straight on"
"10","مِتعَلِّم","mit3allim","Educated"
"10","كِذّاب","kidhdhab","Liar"
"10","رايح","raeeH","Going"
"10","جاي","jaee","Coming"
"10","عارِف","3arif","Knowing"
"10","سايق","saeeq","Driving"
"10","طالِع","Tali3","Going out/Leaving"
"11","واقِف","waqif","Standing"
"11","حامِل","Hamil","Carrying/Pregnant"
"11","ماشي","mashee","Walking"
"11","شايف","shaeef","Seeing"
"11","قاعِد","qa3id","Sitting"
"11","سامِع","sami3","Hearing"
"11","فاهِم","fahim","Understanding"
"11","فَعَل","fa3al","To do"
"11","عَزَم","3azam","To invite"
"11","حَجَز","Hajaz","To book / reserve"
"11","غَلِط","ghaliT","To make a mistake"
"11","حَفِظ","HafiZ","To memorize"
"11","قَبِل","qabil","To accept"
"11","نَجِح","najiH","To succeed in"
"11","رَكِب","rakib","To ride"
"11","سَحَب","saHab","To pull out / withdraw"
"11","قَطَف","qaTaf","To harvest / gather / pick"
"11","نَسَب","nasab","To relate to / correlate with"
"11","عَبَر","3abar","To cross / traverse"
"11","قَتَل","qatal","To kill"
"11","رَقَص","raqaS","To dance"
"11","عَبَد","3abad","To worship"
"11","رَكَض","rakaD","To run"
"11","طار","Tar","To fly"
"11","قام","qam","To remove"
"11","عاد","3ad","To repeat"
"11","فات","fat","To enter into"
"11","ساق","saq","To drive"
"11","جَلى","jala","To wash (dishes e.t.c.)"
"11","ضَوى","Dawa","To light up / turn on"
"11","طَفى","Tafa","To turn off / extinguish"
"11","صَبّ","Sabb","To pour"
"11","طَخّ","Takhkh","To shoot"
"11","كَبّ","kabb","To throw away / spill"
"11","اسْتَخْدَم","astakhdam","To use"
"11","عَصَّب","3aSSab","To become angry"
"11","زَعَّل","za33al","To upset"
"11","نَزَّل","nazzal","To put down / drop off / download"
"11","طَلَّع","Talla3","To take out / bring out"
"11","خَوَّف","khawwaf","To frighten / scare"
"11","طَمَّن","Tamman","To fill in / reassure"
"11","صَدَّق","Saddaq","To believe / trust"
"11","ذَكَّر","dhakkar","To remind"
"11","صَلَّح","SallaH","To fix / repair"
"11","رَجَّع","rajja3","To return"
"11","صَحَّى","SaHHaa","To wake up"
"11","مَشَّى","mashshaa","To make walk (work)"
"11","شَتَّى","shattaa","To rain"
"11","تَزَوَّج","tazawwaj","To marry"
"11","مَسَك","masak","To grab"
"12","كَسَر","kasar","To break / smash"
"12","عَجَب","3ajab","To impress / amaze"
"12","حَبَس","Habas","To arrest / imprison"
"12","غَسَل","ghasal","To wash (your hands e.t.c.)"
"12","حَضِر","HaDir","To attend"
"12","قَطَع","qaTa3","To cut"
"12","اسْتَعْمَل","asta3mal","To use"
"12","عَبَّر","3abbar","To express"
"12","تَحَقَّق","taHaqqaq","To become achieved / realized"
"12","حَزَر","Hazar","To guess"
"12","عَمِل","3amil","To do / make"
"12","دَوَر","dawar","To search for"
"12","رَفَع","rafa3","To lift / raise"
"12","فَتَح","fataH","To be opened"
"12","جَمَع","jama3","To collect"
"12","مَنَع","mana3","To forbid / prohibit"
"12","طَلِع","Tali3","To turn out to be / appear"
"12","هَمَس","hamas","To whisper"
"12","حَلَق","Halaq","To cut (hair)"
"12","ثَلَج","thalaj","To be snowy"
"12","مَطَر","maTar","To be rainy"
"12","شَرَد","sharad","To flee / run away"
"12","رَبَط","rabaT","To tie up"
"12","زاد","zad","To increase"
"12","زاد","zad","To be increased"
"12","خاف","khaf","To be scared"
"12","غار","ghar","To be jealous of"
"12","دار","dar","To go around"
"12","عَنى","3ana","To mean"
"12","رَمى","rama","To throw"
"12","بَنى","bana","To build"
"12","شَرى","shara","To buy"
"12","ضَوى","Dawa","To become lit / bright"
"12","فَضِي","faDi","To become available / empty"
"12","فَضِي","faDi","To make time for"
"12","وَطِي","waTi","To be lowered (in volume)"
"12","رَضِي","raDi","To be pleased / satisfied"
"12","عَلِي","3ali","To arise / rise"
"12","عَدّ","3add","To count"
"12","سَبّ","sabb","To swear / use rude words"
"12","رَنّ","rann","To ring"
"12","حَلّ","Hall","To solve / resolve"
"12","مَرّ","marr","To pass by"
"12","شَكّ","shakk","To doubt"
"12","تَفّ","taff","To spit"
"12","بَدَأ","badaa","To begin"
"12","وَعَد","wa3ad","To promise"
"12","وَصَف","waSaf","To describe"
"12","وَقِع","waqi3","To fall / drop"
"12","وَثِق","wathiq","To trust"
"13","وَلِد","walid","To give birth"
"13","وَقِف","waqif","To stop"
"13","وَقِف","waqif","To stand up"
"13","وَقِف","waqif","To stop"
"13","رَتَّب","rattab","To tidy up"
"13","بَطَّل","baTTal","To quit"
"13","خَفَّف","khaffaf","To lighten / reduce"
"13","بَيَّن","bayyan","To appear / be visible"
"13","ضَبَّط","DabbaT","To correct / make right"
"13","نَكَّد","nakkad","To make someone annoyed"
"13","غَلَّب","ghallab","To inconvenience"
"13","عَلَّى","3allaa","To raise / turn up"
"13","وَطَّى","waTTaa","To turn down / lower (in volume)"
"13","قَضَّى","qaDDaa","To spend time"
"13","أَخَّر","akhkhar","To cause to be late"
"13","أَكَّد","akkad","To confirm"
"13","تَرْجَم","tarjam","To translate"
"13","وَشْوَش","washwash","To whisper"
"13","وَرْجَى","warjaa","To show (alternative pronunciation)"
"13","جادَل","jadal","To argue with"
"13","وافَق","wafaq","To agree with"
"13","تابَع","taba3","To follow"
"13","حاوَل","Hawal","To try / attempt"
"13","أَبْعَد","ab3ad","To move away from"
"13","أَسْلَم","aslam","To become muslim"
"13","أَفْطَر","afTar","To eat breakfast"
"13","أَدْمَن","adman","To become addicted"
"13","أَلْغى","algha","To cancel"
"13","أَنْهى","anha","To end"
"13","تَغَيَّر","taghayyar","To change"
"13","تَحَمَّس","taHammas","To be excited"
"13","تَحَمَّم","taHammam","To take a bath / shower"
"13","تَأَكَّد","taakkad","To make sure / confirm"
"13","تَحَسَّن","taHassan","To improve"
"13","تَغَدّى","taghadda","To eat lunch"
"13","تَعَشّى","ta3ashsha","To eat dinner"
"13","تَمَشّى","tamashsha","To go for a walk"
"13","تَخَبّى","takhabba","To hide oneself"
"13","تَجاهَل","tajahal","To ignore"
"13","تَظاهَر","taZahar","To pretend to do"
"13","تَصالَح","taSalaH","To make up with"
"13","انْوَلَد","anwalad","To be born"
"13","انْزَعَج","anza3aj","To be annoyed"
"13","اعْتَذَر","a3tadhar","To apologize"
"13","اعْتَرَف","a3taraf","To confess / admit"
"13","اكْتَشَف","aktashaf","To discover"
"13","اسْتَلَم","astalam","To receive"
"13","اسْتَوى","astawa","To become ripe / well cooked"
"13","اسْتَمَرّ","astamarr","To continue"
"13","اسْتَأْجِر","astaajir","To rent"
"14","بِلاد","bilad","الشام The Levant"
"14","الشام","ish-sham","بِلاد  The Levant"
"14","إسرائيل","isra2eel","Israel (Palestine)"
"14","سوريا","sooreea","Syria"
"14","لُبنان","loobnan","Lebanon"
"14","الأُردُن","il-oordoon","Jordan"
"14","العِراق","il-3iraq","Iraq"
"14","مَصر","maSr","Egypt"
"14","تونِس","toonis","Tunisia"
"14","الجزائر","il-jza2r","Algeria"
"14","أُروبّا","ooroobba","Europe"
"14","برِيطانيا","briTaneea","Britain"
"14","فرَنسا","fransa","France"
"14","ألمانيا","almaneea","Germany"
"14","روسيّا","rooseeeea","Russia"
"14","الصين","iS-Seen","China"
"14","الهِند","il-hind","India"
"14","أمريكا","amreeka","America (USA)"
